Time Since Last Major Merger [Gyr],Number of Major Mergers
9.627308552926124,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.555201291724902,1
13.8,0
13.8,0
11.903627662592406,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
9.627308552926124,1
13.8,0
11.56482052958491,3
11.007950132808553,2
10.71425401075792,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.182845139342968,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
9.155686374365665,3
13.8,0
13.8,0
13.8,0
8.21393431111962,2
13.8,0
12.361172370658442,2
13.8,0
13.8,0
11.164723670049518,1
13.8,0
12.445128288561726,3
13.8,0
13.8,0
13.8,0
13.8,0
12.894981355405132,1
9.017171205041503,1
13.8,0
13.8,0
13.8,0
12.894981355405132,1
13.8,0
13.8,0
13.8,0
13.8,0
8.559304846246299,1
9.92715903124954,2
13.8,0
13.8,0
11.317040961531216,1
7.790641621123916,3
13.8,0
13.010124756583883,1
13.8,0
11.903627662592406,2
9.78178393942305,1
13.8,0
11.56482052958491,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.903627662592406,2
11.164723670049518,1
13.8,0
11.317040961531216,1
9.627308552926124,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.55480493374341,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.007950132808553,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
7.950232596370229,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.164723670049518,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.860805387276075,1
11.766835879457043,1
13.8,0
13.8,0
9.155686374365665,1
13.8,0
8.841999739310916,2
13.8,0
13.8,0
10.860805387276075,1
13.8,0
11.766835879457043,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
