g band,r band,average stellar age [Gyr]
-20.286500930786133,-20.280027389526367,11.415057023290466
-23.83201026916504,-23.901098251342773,11.50031776022498
-18.84168243408203,-19.048503875732422,11.619893843028647
-23.786640167236328,-23.773136138916016,11.441503082543873
-22.819931030273438,-22.712011337280273,11.13731013669944
-23.809940338134766,-23.81433868408203,11.663833790613515
-20.678565979003906,-20.724964141845703,11.70645085496603
-22.871095657348633,-22.91128158569336,11.680109629943496
-22.649635314941406,-22.657569885253906,11.554451537054875
-23.449962615966797,-23.534807205200195,11.983857539645081
-21.33683204650879,-21.44346046447754,11.751894031875606
-20.7698974609375,-20.779521942138672,11.447684414736994
-23.72297477722168,-23.837968826293945,11.84335041218683
-22.49093246459961,-22.425981521606445,11.37034100405324
-21.201480865478516,-21.162988662719727,11.397529840314574
-23.025524139404297,-23.101016998291016,11.757282025524535
-21.637771606445312,-21.67368507385254,11.707828381421425
-19.90450096130371,-19.890972137451172,11.522638934167714
-22.852930068969727,-23.07350730895996,12.342732059427775
-19.948219299316406,-19.924169540405273,11.391483900054595
-19.736167907714844,-19.764190673828125,11.61379333474124
-23.819934844970703,-23.92173957824707,11.86560945286015
-23.560089111328125,-23.65658950805664,11.718859387584253
-20.891401290893555,-20.792619705200195,11.217025250291018
-22.679256439208984,-22.718351364135742,11.59164561081624
-20.966236114501953,-20.939064025878906,11.547433170171844
-20.098962783813477,-20.081661224365234,11.493545297558546
-23.622758865356445,-23.626689910888672,11.414014367659176
-20.49081802368164,-20.495527267456055,11.496571529320395
-23.0145263671875,-23.06108856201172,11.4647935483225
-21.73923683166504,-21.80531883239746,11.716989190314226
-20.00528907775879,-19.972572326660156,11.421825485964556
-23.5371150970459,-23.55945587158203,11.429871253559687
-23.22832489013672,-23.236419677734375,11.495941341098812
-23.369260787963867,-23.414974212646484,11.574891472145332
-23.11686897277832,-23.264266967773438,11.826457868308088
-20.515094757080078,-20.499723434448242,11.498586925307606
-23.225996017456055,-23.406877517700195,12.036789410478795
-22.753768920898438,-22.79134178161621,11.723834056930082
-20.682937622070312,-20.705055236816406,11.526125989167396
-20.14252281188965,-20.17165756225586,11.686145526596794
-23.795618057250977,-23.79588508605957,11.479529616975698
-20.857177734375,-20.840688705444336,11.555342976551602
-23.368820190429688,-23.363744735717773,11.532836412173321
-20.494932174682617,-20.515697479248047,11.441825697109616
-21.637666702270508,-21.531469345092773,11.286498212597401
-23.718385696411133,-23.849225997924805,11.656267304561279
-23.49660873413086,-23.607526779174805,11.909749795179868
-23.68743324279785,-23.758522033691406,11.894492710778765
-20.662824630737305,-20.717653274536133,11.759074981806258
-23.29227638244629,-23.429336547851562,11.863721977714976
-21.211795806884766,-21.2540340423584,11.62132690135849
-23.507265090942383,-23.617828369140625,11.663541069478807
